"exercise_db_id","name","gifUrl","bodyParts","equipments","targetMuscles","secondaryMuscles"
"2Ryn564","assisted prone rectus femoris stretch","https://static.exercisedb.dev/media/2Ryn564.gif","waist","assisted","abs","quadriceps"
"2sQGZ5b","dumbbell one arm standing hammer curl","https://static.exercisedb.dev/media/2sQGZ5b.gif","upper arms","dumbbell","biceps","forearms"
"2Ty4idJ","advanced dumbbell stiff leg deadlift","https://static.exercisedb.dev/media/2Ty4idJ.gif","upper legs","dumbbell","glutes","hamstrings|lower back"
"2zNKRUB","wrist circles","https://static.exercisedb.dev/media/2zNKRUB.gif","lower arms","body weight","forearms","hands|wrists"
"33AzZeV","barbell front raise and pullover","https://static.exercisedb.dev/media/33AzZeV.gif","chest","barbell","pectorals","deltoids|triceps"
"3d7wHyd","dumbbell bench seated press","https://static.exercisedb.dev/media/3d7wHyd.gif","shoulders","dumbbell","delts","triceps|chest"
"3eGE2JC","dumbbell front raise","https://static.exercisedb.dev/media/3eGE2JC.gif","shoulders","dumbbell","delts","biceps|trapezius"
"3nvEbbF","cable twisting pull with intensified","https://static.exercisedb.dev/media/3nvEbbF.gif","back","cable","lats","shoulders|biceps"
"3omWx6P","band alternating biceps curl","https://static.exercisedb.dev/media/3omWx6P.gif","upper arms","band","biceps","forearms"
"3pqGMQj","band alternating v-up with simple","https://static.exercisedb.dev/media/3pqGMQj.gif","waist","band","abs","hip flexors"
"3QgteDK","barbell wide reverse grip bench press horizontal","https://static.exercisedb.dev/media/3QgteDK.gif","chest","barbell","pectorals","triceps|shoulders"
"3s4NnTh","dumbbell standing biceps curl","https://static.exercisedb.dev/media/3s4NnTh.gif","upper arms","dumbbell","biceps","forearms"
"3T12T87","dumbbell standing bent over two arm triceps extension","https://static.exercisedb.dev/media/3T12T87.gif","upper arms","dumbbell","triceps","shoulders|back"
"3tAXPQ6","dumbbell over bench revers wrist curl","https://static.exercisedb.dev/media/3tAXPQ6.gif","lower arms","dumbbell","forearms","biceps|brachialis"
"3TZduzM","barbell incline bench press","https://static.exercisedb.dev/media/3TZduzM.gif","chest","barbell","pectorals","shoulders|triceps"
"3uj0Ozg","dynamic chest stretch (male)","https://static.exercisedb.dev/media/3uj0Ozg.gif","chest","body weight","pectorals","shoulders|triceps"
"3XFdb1Z","cable squatting curl","https://static.exercisedb.dev/media/3XFdb1Z.gif","upper arms","cable","biceps","forearms"
"3xK09Sk","bodyweight squatting row","https://static.exercisedb.dev/media/3xK09Sk.gif","back","body weight","upper back","biceps|shoulders"
"3ZflifB","cable pushdown","https://static.exercisedb.dev/media/3ZflifB.gif","upper arms","cable","triceps","forearms"
"4c9BhzB","cable lateral pulldown with v-bar","https://static.exercisedb.dev/media/4c9BhzB.gif","back","cable","lats","biceps|forearms"
"4CBIBOM","barbell seated close grip behind neck triceps extension","https://static.exercisedb.dev/media/4CBIBOM.gif","upper arms","barbell","triceps","shoulders"
"4cWjYEN","narrow push-up on exercise ball","https://static.exercisedb.dev/media/4cWjYEN.gif","upper arms","stability ball","triceps","chest|shoulders"
"4dF3maG","dumbbell one arm hammer preacher curl","https://static.exercisedb.dev/media/4dF3maG.gif","upper arms","dumbbell","biceps","forearms"
"4dUn2iv","barbell standing close grip curl","https://static.exercisedb.dev/media/4dUn2iv.gif","upper arms","barbell","biceps","forearms"
"4f8RXP8","cable standing row (v-bar)","https://static.exercisedb.dev/media/4f8RXP8.gif","back","cable","upper back","biceps|shoulders"
"4GqRrAk","superman push-up","https://static.exercisedb.dev/media/4GqRrAk.gif","chest","body weight","pectorals","core|shoulders"
"4H86mXM","sled 45 degrees one leg press pointed","https://static.exercisedb.dev/media/4H86mXM.gif","upper legs","sled machine","glutes","quadriceps|hamstrings|calves"
"4hATdoB","cable rope one arm hammer preacher curl","https://static.exercisedb.dev/media/4hATdoB.gif","upper arms","cable","biceps","forearms"
"4ievMJ9","dumbbell seated bent over triceps extension","https://static.exercisedb.dev/media/4ievMJ9.gif","upper arms","dumbbell","triceps","shoulders|back"
"4IKbhHV","alternate lateral pulldown","https://static.exercisedb.dev/media/4IKbhHV.gif","back","cable","lats","biceps|rhomboids"
"4Jc36XM","dumbbell over bench one arm reverse wrist curl","https://static.exercisedb.dev/media/4Jc36XM.gif","lower arms","dumbbell","forearms","biceps|brachialis"
"4Jt8QsQ","push-up on lower arms","https://static.exercisedb.dev/media/4Jt8QsQ.gif","upper arms","body weight","triceps","chest|shoulders"
"4KJEpzb","kettlebell bottoms up clean from the hang position","https://static.exercisedb.dev/media/4KJEpzb.gif","upper arms","kettlebell","biceps","forearms|shoulders"
"4Leypho","barbell skier","https://static.exercisedb.dev/media/4Leypho.gif","shoulders","barbell","delts","triceps|core"
"4LIG9xr","barbell reverse preacher curl","https://static.exercisedb.dev/media/4LIG9xr.gif","upper arms","barbell","biceps","forearms"
"4LoWllp","band fixed back close grip pulldown","https://static.exercisedb.dev/media/4LoWllp.gif","back","band","lats","biceps|forearms"
"4Ml7QFO","hanging straight leg raise","https://static.exercisedb.dev/media/4Ml7QFO.gif","waist","body weight","abs","hip flexors"
"4OaumBr","suspended row","https://static.exercisedb.dev/media/4OaumBr.gif","back","body weight","upper back","biceps|shoulders"
"4QqYaJW","gentle prone twist on stability ball","https://static.exercisedb.dev/media/4QqYaJW.gif","waist","stability ball","abs","obliques|lower back"
"4U7iLb5","lever pullover","https://static.exercisedb.dev/media/4U7iLb5.gif","back","leverage machine","lats","triceps|shoulders"
"4x5Okof","resistance band seated chest press","https://static.exercisedb.dev/media/4x5Okof.gif","chest","resistance band","pectorals","shoulders|triceps"
"50BETrz","biceps narrow pull-ups","https://static.exercisedb.dev/media/50BETrz.gif","upper arms","body weight","biceps","forearms|shoulders"
"53Ttlck","dumbbell lying rear lateral raise","https://static.exercisedb.dev/media/53Ttlck.gif","shoulders","dumbbell","delts","traps|rhomboids"
"58rdhvL","narrow style band jack knife sit-up","https://static.exercisedb.dev/media/58rdhvL.gif","waist","band","abs","hip flexors"
"5bpPTHv","kettlebell pistol squat","https://static.exercisedb.dev/media/5bpPTHv.gif","upper legs","kettlebell","glutes","quadriceps|hamstrings|calves"
"5BZHW9s","squat to overhead reach with twist","https://static.exercisedb.dev/media/5BZHW9s.gif","upper legs","body weight","quads","glutes|hamstrings|core"
"5eLRITT","dumbbell stiff leg deadlift","https://static.exercisedb.dev/media/5eLRITT.gif","upper legs","dumbbell","glutes","hamstrings|lower back"
"5fKX7wi","dumbbell seated reverse grip one arm overhead tricep extension","https://static.exercisedb.dev/media/5fKX7wi.gif","upper arms","dumbbell","triceps","shoulders"
"5ipN0iE","assisted pull-up inclined","https://static.exercisedb.dev/media/5ipN0iE.gif","back","leverage machine","lats","biceps|forearms"
"5KLbZWx","kettlebell alternating press","https://static.exercisedb.dev/media/5KLbZWx.gif","shoulders","kettlebell","delts","triceps|core"
"5lE7XRz","smith bent over row with declined","https://static.exercisedb.dev/media/5lE7XRz.gif","back","smith machine","upper back","biceps|forearms"
"5MRH8H2","ski step","https://static.exercisedb.dev/media/5MRH8H2.gif","cardio","body weight","cardiovascular system","quadriceps|hamstrings|glutes|calves"
"5uFK1xr","barbell seated overhead triceps extension","https://static.exercisedb.dev/media/5uFK1xr.gif","upper arms","barbell","triceps","shoulders"
"5v7KYld","smith incline bench press","https://static.exercisedb.dev/media/5v7KYld.gif","chest","smith machine","pectorals","shoulders|triceps"
"5VCj6iH","barbell hack squat","https://static.exercisedb.dev/media/5VCj6iH.gif","upper legs","barbell","glutes","quadriceps|hamstrings|calves"
"5vfAI0I","dumbbell scott press","https://static.exercisedb.dev/media/5vfAI0I.gif","shoulders","dumbbell","delts","triceps|chest"
"5VXmnV5","bodyweight incline side plank","https://static.exercisedb.dev/media/5VXmnV5.gif","waist","body weight","abs","obliques|shoulders"
"5WiFcYk","weighted lunge with swing","https://static.exercisedb.dev/media/5WiFcYk.gif","upper legs","weighted","glutes","quadriceps|hamstrings|calves"
"61GrD55","cable lying close-grip curl","https://static.exercisedb.dev/media/61GrD55.gif","upper arms","cable","biceps","forearms"
"62Nw60O","barbell rear lunge v. 2","https://static.exercisedb.dev/media/62Nw60O.gif","upper legs","barbell","glutes","quadriceps|hamstrings|calves"
"641mIfk","barbell incline reverse-grip press","https://static.exercisedb.dev/media/641mIfk.gif","upper arms","barbell","triceps","chest|shoulders"
"67n3r98","lever shoulder press","https://static.exercisedb.dev/media/67n3r98.gif","shoulders","leverage machine","delts","triceps|chest"
"6bOA1Oi","weighted side bend (on stability ball)","https://static.exercisedb.dev/media/6bOA1Oi.gif","waist","weighted","abs","obliques|lower back"
"6cKQC5E","dumbbell one arm upright row","https://static.exercisedb.dev/media/6cKQC5E.gif","shoulders","dumbbell","delts","traps|biceps"
"6CKUx7o","ez bar lying close grip triceps extension behind head","https://static.exercisedb.dev/media/6CKUx7o.gif","upper arms","ez barbell","triceps","shoulders"
"6e2DcYX","dumbbell incline shoulder raise","https://static.exercisedb.dev/media/6e2DcYX.gif","chest","dumbbell","serratus anterior","deltoids|trapezius"
"6em2Dxj","dumbbell alternate seated hammer curl","https://static.exercisedb.dev/media/6em2Dxj.gif","upper arms","dumbbell","biceps","forearms"
"6FMU51h","semi squat jump (male)","https://static.exercisedb.dev/media/6FMU51h.gif","cardio","body weight","cardiovascular system","quadriceps|hamstrings|calves"
"6HiHHe0","barbell standing rocking leg calf raise","https://static.exercisedb.dev/media/6HiHHe0.gif","lower legs","barbell","calves","hamstrings|quadriceps"
"6HmFgmx","standing calf raise (on a staircase)","https://static.exercisedb.dev/media/6HmFgmx.gif","lower legs","body weight","calves","ankles|feet"
"6kSxYnw","barbell wrist curl v. 2","https://static.exercisedb.dev/media/6kSxYnw.gif","lower arms","barbell","forearms","biceps|brachialis"
"6MaEjVA","smith standing leg calf raise","https://static.exercisedb.dev/media/6MaEjVA.gif","lower legs","smith machine","calves","hamstrings|glutes"
"6MfS53i","dumbbell lying single extension","https://static.exercisedb.dev/media/6MfS53i.gif","upper arms","dumbbell","triceps","shoulders"
"6pTkI99","dumbbell one arm snatch","https://static.exercisedb.dev/media/6pTkI99.gif","upper legs","dumbbell","glutes","hamstrings|quadriceps|core"
"6sMAmNv","dumbbell reverse spider curl","https://static.exercisedb.dev/media/6sMAmNv.gif","upper arms","dumbbell","biceps","forearms"
"6sYyrRX","bent knee lying twist (male)","https://static.exercisedb.dev/media/6sYyrRX.gif","upper legs","body weight","glutes","obliques|hip flexors"
"6t00BsF","cable one arm incline press on exercise ball","https://static.exercisedb.dev/media/6t00BsF.gif","chest","cable","pectorals","shoulders|triceps"
"6TG6x2w","ez barbell curl","https://static.exercisedb.dev/media/6TG6x2w.gif","upper arms","ez barbell","biceps","forearms"
"6vcvsLS","hanging straight leg raise with elevated","https://static.exercisedb.dev/media/6vcvsLS.gif","waist","body weight","abs","hip flexors"
"6Wr0F3W","rounded twisted leg raise (female)","https://static.exercisedb.dev/media/6Wr0F3W.gif","waist","body weight","abs","obliques|hip flexors"
"6YUfHPL","quads","https://static.exercisedb.dev/media/6YUfHPL.gif","upper legs","body weight","quads","hamstrings|glutes"
"6ZCiYWQ","sit-up with arms on chest","https://static.exercisedb.dev/media/6ZCiYWQ.gif","waist","body weight","abs","hip flexors"
"72BC5Za","archer pull up","https://static.exercisedb.dev/media/72BC5Za.gif","back","body weight","lats","biceps|forearms"
"75Bgtjy","potty squat","https://static.exercisedb.dev/media/75Bgtjy.gif","waist","body weight","abs","quadriceps|glutes"
"76vfTdU","dumbbell step up single leg balance with bicep curl","https://static.exercisedb.dev/media/76vfTdU.gif","upper arms","dumbbell","biceps","quadriceps|glutes|hamstrings"
"7858za8","fluid dumbbell step-up lunge","https://static.exercisedb.dev/media/7858za8.gif","upper legs","dumbbell","quads","glutes|hamstrings|calves"
"78VqWQK","smith incline reverse-grip press","https://static.exercisedb.dev/media/78VqWQK.gif","chest","smith machine","pectorals","triceps|shoulders"
"79AmJsI","dumbbell hammer curl with traditional","https://static.exercisedb.dev/media/79AmJsI.gif","upper arms","dumbbell","biceps","forearms"
"7AnZtSv","dumbbell over bench one arm wrist curl - strength variation","https://static.exercisedb.dev/media/7AnZtSv.gif","lower arms","dumbbell","forearms","biceps|shoulders"
"7aolH9D","medicine ball chest push multiple response","https://static.exercisedb.dev/media/7aolH9D.gif","chest","medicine ball","pectorals","triceps|shoulders"
"7aVz15j","triceps dips floor","https://static.exercisedb.dev/media/7aVz15j.gif","upper arms","body weight","triceps","chest|shoulders"
"7B4F5nZ","lever calf press","https://static.exercisedb.dev/media/7B4F5nZ.gif","lower legs","leverage machine","calves","hamstrings"
"7Ba7bQ2","kettlebell two arm clean","https://static.exercisedb.dev/media/7Ba7bQ2.gif","shoulders","kettlebell","delts","traps|forearms"
"7D5bgLT","dumbbell seated preacher curl","https://static.exercisedb.dev/media/7D5bgLT.gif","upper arms","dumbbell","biceps","forearms"
"7E06s6d","chest tap push-up (male)","https://static.exercisedb.dev/media/7E06s6d.gif","chest","body weight","pectorals","triceps|shoulders"
"7ePTw4B","exercise ball seated triceps stretch","https://static.exercisedb.dev/media/7ePTw4B.gif","upper arms","stability ball","triceps","shoulders"
"7F1DVzn","lever front pulldown","https://static.exercisedb.dev/media/7F1DVzn.gif","back","leverage machine","lats","biceps|rhomboids|rear deltoids"
"7f2jsqP","dumbbell seated one arm rotate","https://static.exercisedb.dev/media/7f2jsqP.gif","lower arms","dumbbell","forearms","shoulders|biceps"
"7gdLIXa","dumbbell lying hammer press","https://static.exercisedb.dev/media/7gdLIXa.gif","chest","dumbbell","pectorals","triceps|shoulders"
"7HcfMBP","assisted standing triceps extension (with towel)","https://static.exercisedb.dev/media/7HcfMBP.gif","upper arms","assisted","triceps","shoulders"
"7Hg55JG","dumbbell clean","https://static.exercisedb.dev/media/7Hg55JG.gif","upper legs","dumbbell","glutes","hamstrings|quadriceps|calves"
"7i4msxz","cocoons with mega","https://static.exercisedb.dev/media/7i4msxz.gif","waist","body weight","abs","hip flexors|lower back"
"7I6LNUG","lever seated row","https://static.exercisedb.dev/media/7I6LNUG.gif","back","leverage machine","upper back","biceps|forearms"
"7inpWch","dumbbell standing concentration curl","https://static.exercisedb.dev/media/7inpWch.gif","upper arms","dumbbell","biceps","forearms"
"7jGOBF3","dumbbell close grip press","https://static.exercisedb.dev/media/7jGOBF3.gif","upper arms","dumbbell","triceps","chest|shoulders"
"7M66AVi","barbell rollerout","https://static.exercisedb.dev/media/7M66AVi.gif","waist","barbell","abs","lower back"
"7OeHptV","assisted standing chin-up","https://static.exercisedb.dev/media/7OeHptV.gif","back","leverage machine","lats","biceps|forearms"
"7R4NIjL","assisted standing triceps extension (with towel) with horizontal","https://static.exercisedb.dev/media/7R4NIjL.gif","upper arms","assisted","triceps","shoulders"
"7RWNjiB","dumbbell lying pronation on floor","https://static.exercisedb.dev/media/7RWNjiB.gif","lower arms","dumbbell","forearms","biceps|triceps"
"7saC5zz","cable decline fly","https://static.exercisedb.dev/media/7saC5zz.gif","chest","cable","pectorals","shoulders|triceps"
"7uFJuXp","weighted kneeling step with swing","https://static.exercisedb.dev/media/7uFJuXp.gif","shoulders","weighted","delts","triceps|core"
"7vG5o25","dumbbell incline row","https://static.exercisedb.dev/media/7vG5o25.gif","back","dumbbell","upper back","biceps|shoulders"
"7w6i0vE","kettlebell alternating press on floor","https://static.exercisedb.dev/media/7w6i0vE.gif","chest","kettlebell","pectorals","shoulders|triceps"
"7WaDzyL","side hip abduction","https://static.exercisedb.dev/media/7WaDzyL.gif","upper legs","body weight","abductors","glutes|quadriceps"
"7WcQgkm","smith machine incline tricep extension - straight variation","https://static.exercisedb.dev/media/7WcQgkm.gif","upper arms","smith machine","triceps","shoulders"
"7xeukSt","scapula dips","https://static.exercisedb.dev/media/7xeukSt.gif","back","body weight","traps","rhomboids|deltoids"
"7xI5MXA","cable bench press","https://static.exercisedb.dev/media/7xI5MXA.gif","chest","cable","pectorals","triceps|shoulders"
"7y9JIMj","lever reverse grip preacher curl with precision","https://static.exercisedb.dev/media/7y9JIMj.gif","upper arms","leverage machine","biceps","forearms"
"7zdxRTl","smith leg press","https://static.exercisedb.dev/media/7zdxRTl.gif","upper legs","smith machine","glutes","quadriceps|hamstrings|calves"
"82LxxkW","barbell wrist curl","https://static.exercisedb.dev/media/82LxxkW.gif","lower arms","barbell","forearms","biceps|brachialis"
"83HoW9X","barbell upright row v. 2","https://static.exercisedb.dev/media/83HoW9X.gif","shoulders","barbell","delts","traps|biceps"
"84RyJf8","dumbbell one arm shoulder press","https://static.exercisedb.dev/media/84RyJf8.gif","shoulders","dumbbell","delts","triceps|upper back"
"84sESNy","dumbbell seated one arm bicep curl on exercise ball with leg raised","https://static.exercisedb.dev/media/84sESNy.gif","upper arms","dumbbell","biceps","forearms|shoulders"
"89HVjEp","kettlebell seated press with high","https://static.exercisedb.dev/media/89HVjEp.gif","shoulders","kettlebell","delts","triceps|core"
"8ARQ9Hw","kettlebell sumo high pull","https://static.exercisedb.dev/media/8ARQ9Hw.gif","back","kettlebell","traps","shoulders|glutes|hamstrings"
"8coXSYU","roller seated shoulder flexor depresor retractor","https://static.exercisedb.dev/media/8coXSYU.gif","chest","roller","pectorals","deltoids|triceps"
"8d8qJQI","barbell reverse grip incline bench row","https://static.exercisedb.dev/media/8d8qJQI.gif","back","barbell","upper back","biceps|forearms"
"8DiFDVA","dumbbell rear fly","https://static.exercisedb.dev/media/8DiFDVA.gif","shoulders","dumbbell","delts","trapezius|rhomboids"
"8eqjhOl","dumbbell palms in incline bench press","https://static.exercisedb.dev/media/8eqjhOl.gif","upper arms","dumbbell","triceps","chest|shoulders"
"8fgqP5a","dumbbell standing one arm concentration curl","https://static.exercisedb.dev/media/8fgqP5a.gif","upper arms","dumbbell","biceps","forearms"
"8gQo5Ss","single style cable standing crunch (with rope attachment)","https://static.exercisedb.dev/media/8gQo5Ss.gif","waist","cable","abs","obliques"
